engine,cycle,(Fan inlet temperature) (◦R),(LPC outlet temperature) (◦R),(HPC outlet temperature) (◦R),(LPT outlet temperature) (◦R),(Fan inlet Pressure) (psia),(bypass-duct pressure) (psia),(HPC outlet pressure) (psia),(Physical fan speed) (rpm),(Physical core speed) (rpm),(Engine pressure ratio(P50/P2),(HPC outlet Static pressure) (psia),(Ratio of fuel flow to Ps30) (pps/psia),(Corrected fan speed) (rpm),(Corrected core speed) (rpm),(Bypass Ratio) ,(Burner fuel-air ratio),(Bleed Enthalpy),(Required fan speed),(Required fan conversion speed),(High-pressure turbines Cool air flow),(Low-pressure turbines Cool air flow),RUL
41,210,445.0,549.59,1357.14,1135.14,3.91,5.72,138.26,2211.84,8326.47,1.02,42.41,130.07,2387.93,8089.44,9.4415,0.02,330,2212,100.0,10.49,6.3209,44
42,137,445.0,549.75,1363.81,1132.38,3.91,5.71,138.17,2211.69,8317.35,1.02,42.64,129.76,2387.78,8073.23,9.4423,0.02,332,2212,100.0,10.47,6.3056,27
43,184,449.44,555.62,1367.59,1136.18,5.48,8.0,193.88,2223.68,8392.29,1.02,42.14,182.86,2388.82,8105.27,9.3833,0.02,337,2223,100.0,14.73,8.8627,18
44,164,518.67,643.62,1599.63,1431.74,14.62,21.61,552.27,2388.09,9134.59,1.3,47.88,520.55,2388.16,8200.26,8.5022,0.03,396,2388,100.0,38.61,23.1049,6
45,195,489.05,605.09,1509.34,1323.78,10.52,15.5,393.53,2319.15,8842.59,1.26,45.82,371.39,2388.34,8176.95,8.7232,0.03,373,2319,100.0,28.58,17.0732,15
46,132,491.19,606.9,1479.0,1245.14,9.35,13.65,334.69,2324.0,8742.23,1.08,44.29,315.32,2388.15,8075.47,9.2042,0.02,365,2324,100.0,24.4,14.7673,112
47,81,518.67,642.41,1584.17,1415.15,14.62,21.61,553.3,2388.08,9060.52,1.3,47.3,521.13,2388.11,8136.6,8.4071,0.03,394,2388,100.0,38.76,23.3603,131
48,132,462.54,536.94,1271.29,1059.38,7.05,9.03,174.57,1915.17,8010.35,0.94,36.99,164.34,2028.06,7869.88,10.9608,0.02,307,1915,84.93,14.21,8.4685,13
49,65,489.05,605.13,1502.3,1306.56,10.52,15.49,394.92,2318.92,8777.4,1.26,45.43,371.95,2388.13,8133.12,8.6507,0.03,368,2319,100.0,28.69,17.1917,122
50,164,445.0,549.89,1363.16,1139.06,3.91,5.72,138.06,2212.56,8367.31,1.02,42.59,130.29,2388.67,8125.1,9.4234,0.02,333,2212,100.0,10.45,6.3462,13
51,37,518.67,642.41,1589.19,1404.67,14.62,21.61,555.0,2387.99,9062.89,1.3,47.24,521.94,2388.03,8143.54,8.428,0.03,392,2388,100.0,38.93,23.3526,98
52,165,489.05,605.14,1502.67,1319.78,10.52,15.5,394.77,2319.04,8793.98,1.26,45.67,370.76,2388.31,8144.5,8.676,0.03,372,2319,100.0,28.37,16.9724,53
53,149,445.0,549.69,1360.69,1137.77,3.91,5.72,138.53,2212.21,8343.43,1.02,42.39,130.99,2388.33,8110.8,9.3743,0.02,331,2212,100.0,10.6,6.3526,52
54,74,445.0,548.7,1352.16,1117.43,3.91,5.71,138.76,2211.81,8304.67,1.02,42.24,130.91,2387.83,8079.12,9.3649,0.02,331,2212,100.0,10.76,6.4357,106
55,123,489.05,604.95,1502.86,1315.37,10.52,15.49,394.15,2318.95,8775.79,1.26,45.5,371.6,2388.17,8135.41,8.61,0.03,369,2319,100.0,28.42,17.1114,103
56,73,445.0,549.6,1354.87,1118.93,3.91,5.71,139.15,2211.95,8326.27,1.02,41.81,130.89,2388.02,8085.08,9.3761,0.02,329,2212,100.0,10.69,6.5181,152
57,76,449.44,555.44,1353.03,1123.89,5.48,8.0,195.04,2223.03,8347.92,1.02,41.82,183.67,2388.15,8071.26,9.2552,0.02,333,2223,100.0,14.8,8.9785,123
58,247,491.19,608.1,1492.05,1263.97,9.35,13.66,333.69,2324.3,8768.65,1.07,44.77,314.38,2388.53,8099.33,9.2878,0.03,368,2324,100.0,24.37,14.6045,26
59,22,445.0,549.48,1352.22,1123.37,3.91,5.72,139.23,2211.95,8329.47,1.02,42.05,130.61,2388.04,8085.32,9.3745,0.02,332,2212,100.0,10.59,6.4055,178
60,144,445.0,550.03,1356.56,1117.78,3.91,5.72,139.1,2212.05,8333.79,1.02,42.22,130.92,2388.1,8094.94,9.4163,0.02,331,2212,100.0,10.46,6.3905,73
61,70,489.05,604.32,1505.48,1314.18,10.52,15.49,394.76,2318.96,8782.99,1.26,45.41,371.2,2388.15,8129.63,8.6935,0.03,369,2319,100.0,28.5,17.1495,169
62,205,518.67,642.5,1589.5,1422.13,14.62,21.61,551.81,2388.11,9079.8,1.3,47.85,520.49,2388.15,8152.19,8.4566,0.03,393,2388,100.0,38.64,23.068,39
63,174,518.67,642.99,1592.71,1410.54,14.62,21.61,552.36,2388.17,9065.53,1.3,47.71,521.25,2388.16,8139.21,8.467,0.03,393,2388,100.0,38.5,23.2146,39
64,233,445.0,550.54,1367.75,1147.34,3.91,5.72,138.81,2212.13,8336.61,1.02,42.73,130.47,2388.23,8104.22,9.4699,0.02,333,2212,100.0,10.52,6.2674,14
65,367,462.54,537.22,1268.47,1060.82,7.05,9.03,174.72,1915.86,8043.89,0.94,37.19,164.63,2028.87,7906.06,10.9866,0.02,311,1915,84.93,14.29,8.5046,11
66,63,462.54,536.35,1263.46,1047.21,7.05,9.02,176.17,1915.51,8017.6,0.94,36.67,165.26,2028.38,7885.98,10.898,0.02,307,1915,84.93,14.26,8.524,121
67,146,462.54,536.76,1258.1,1047.0,7.05,9.03,175.3,1915.7,8026.33,0.94,36.67,165.11,2028.53,7890.61,10.9057,0.02,307,1915,84.93,14.33,8.5903,86
68,218,445.0,550.47,1367.05,1128.91,3.91,5.72,138.33,2212.49,8360.11,1.02,42.23,131.04,2388.57,8113.68,9.4116,0.02,332,2212,100.0,10.45,6.4878,56
69,158,462.54,536.41,1260.06,1044.33,7.05,9.03,175.5,1915.55,8022.34,0.94,36.58,165.04,2028.42,7885.95,10.8769,0.02,306,1915,84.93,14.3,8.5713,115
70,264,518.67,644.01,1598.81,1423.62,14.62,21.61,551.74,2388.19,9078.15,1.3,48.03,520.06,2388.21,8139.09,8.502,0.03,395,2388,100.0,38.6,23.0763,17
71,65,462.54,536.37,1251.3,1043.28,7.05,9.03,175.64,1915.45,8013.41,0.94,36.65,165.13,2028.33,7876.3,10.8829,0.02,307,1915,84.93,14.24,8.5423,148
72,143,462.54,536.96,1258.96,1050.51,7.05,9.03,174.84,1915.4,8013.31,0.94,36.8,164.75,2028.28,7884.04,10.9023,0.02,308,1915,84.93,14.35,8.5571,104
73,151,489.05,605.08,1505.25,1311.04,10.52,15.49,394.58,2318.97,8781.55,1.26,45.58,370.95,2388.21,8126.89,8.678,0.03,369,2319,100.0,28.56,17.0923,78
74,103,449.44,555.35,1362.25,1131.62,5.48,8.0,195.26,2223.12,8358.84,1.02,41.72,183.53,2388.28,8078.99,9.3461,0.02,333,2223,100.0,14.86,8.8578,86
75,192,491.19,606.88,1478.27,1243.63,9.35,13.66,335.45,2324.14,8750.09,1.08,44.29,315.41,2388.23,8078.01,9.2019,0.02,365,2324,100.0,24.66,14.6551,98
76,222,518.67,643.44,1595.51,1417.0,14.62,21.61,552.78,2388.1,9088.15,1.3,47.69,520.72,2388.14,8159.69,8.4799,0.03,394,2388,100.0,38.36,23.0925,36
77,67,489.05,605.05,1504.82,1314.03,10.52,15.49,394.65,2318.97,8760.26,1.26,45.51,371.08,2388.15,8114.32,8.6742,0.03,369,2319,100.0,28.47,17.1718,94
78,128,518.67,642.25,1593.74,1403.82,14.62,21.61,553.84,2388.05,9101.17,1.3,47.49,522.64,2388.01,8182.4,8.4298,0.03,394,2388,100.0,38.87,23.3763,52
79,113,445.0,549.76,1355.31,1126.33,3.91,5.71,138.77,2211.82,8316.18,1.02,42.19,130.66,2387.81,8076.89,9.3876,0.02,331,2212,100.0,10.6,6.327,91
80,278,449.44,556.96,1376.92,1144.1,5.48,8.0,193.44,2223.34,8375.76,1.02,42.24,182.84,2388.43,8083.91,9.3982,0.02,335,2223,100.0,14.59,8.7997,15
81,76,491.19,607.53,1480.5,1249.27,9.35,13.66,334.51,2324.0,8728.43,1.08,44.33,315.26,2388.12,8065.84,9.191,0.02,365,2324,100.0,24.46,14.7088,141
82,96,449.44,555.81,1355.86,1128.71,5.48,8.0,194.81,2223.29,8369.85,1.02,41.92,183.62,2388.37,8084.95,9.3132,0.02,334,2223,100.0,14.91,8.9399,74
83,21,445.0,549.31,1340.78,1119.4,3.91,5.72,138.56,2211.8,8314.27,1.02,42.09,130.52,2387.87,8081.56,9.3733,0.02,331,2212,100.0,10.54,6.4678,146
84,204,489.05,605.23,1499.97,1323.56,10.52,15.5,393.77,2319.14,8766.84,1.26,45.79,370.6,2388.36,8118.65,8.6973,0.03,371,2319,100.0,28.26,17.0389,17
85,183,462.54,536.88,1261.43,1054.18,7.05,9.03,175.33,1915.59,8032.79,0.93,36.97,164.39,2028.5,7888.21,10.9368,0.02,308,1915,84.93,14.16,8.5467,47
86,83,518.67,642.71,1583.18,1407.36,14.62,21.61,553.21,2388.07,9065.96,1.3,47.48,521.24,2388.09,8136.13,8.4571,0.03,392,2388,100.0,38.84,23.3399,194
87,131,489.05,605.67,1510.72,1322.62,10.52,15.5,393.88,2319.07,8769.4,1.26,45.78,371.42,2388.32,8124.37,8.7009,0.03,371,2319,100.0,28.38,17.0343,21
88,166,445.0,550.41,1350.38,1127.24,3.91,5.72,138.57,2211.98,8336.96,1.02,42.26,130.14,2388.07,8086.99,9.3538,0.02,331,2212,100.0,10.5,6.3231,79
89,59,489.05,605.36,1503.52,1309.18,10.52,15.5,394.02,2318.97,8773.34,1.26,45.47,371.8,2388.16,8129.97,8.6764,0.03,369,2319,100.0,28.54,17.0738,97
90,163,445.0,550.43,1355.99,1142.47,3.91,5.72,138.74,2212.67,8368.14,1.03,42.66,131.02,2388.78,8126.92,9.4365,0.02,334,2212,100.0,10.47,6.2931,8
91,278,462.54,536.7,1265.24,1068.8,7.05,9.03,175.44,1914.95,7999.69,0.94,37.26,164.37,2027.89,7858.65,10.9935,0.02,310,1915,84.93,14.22,8.5688,9
92,123,445.0,549.47,1352.99,1126.01,3.91,5.72,138.36,2211.99,8326.68,1.02,42.21,130.11,2388.1,8090.02,9.3753,0.02,331,2212,100.0,10.79,6.3416,73
93,76,518.67,642.59,1583.19,1411.81,14.62,21.61,553.25,2388.06,9052.28,1.3,47.55,521.63,2388.15,8133.04,8.4025,0.03,393,2388,100.0,38.9,23.4229,183
94,117,489.05,604.62,1503.61,1306.75,10.52,15.49,394.58,2318.96,8779.07,1.26,45.69,371.06,2388.17,8125.35,8.6688,0.03,372,2319,100.0,28.61,17.104,97
95,78,449.44,555.58,1366.57,1137.16,5.48,8.0,194.7,2222.78,8348.6,1.02,42.0,183.12,2387.86,8054.69,9.3555,0.02,335,2223,100.0,14.9,8.8858,73
96,140,449.44,556.54,1367.12,1140.15,5.48,8.0,193.8,2223.04,8355.8,1.02,42.07,182.79,2388.12,8072.34,9.3757,0.02,334,2223,100.0,14.71,8.8848,49
97,213,445.0,550.48,1360.47,1137.87,3.91,5.72,138.76,2211.84,8331.43,1.02,42.46,129.94,2387.91,8087.82,9.4278,0.02,333,2212,100.0,10.6,6.3169,31
98,113,462.54,536.96,1260.49,1046.93,7.05,9.03,175.43,1915.15,7997.58,0.94,37.03,164.65,2028.03,7862.14,10.9308,0.02,308,1915,84.93,14.14,8.5572,97
99,163,462.54,536.79,1267.73,1058.23,7.05,9.03,174.86,1915.52,8018.17,0.94,37.18,164.32,2028.38,7877.3,10.9942,0.02,309,1915,84.93,14.25,8.4633,9
100,149,491.19,608.31,1500.07,1269.79,9.35,13.66,333.75,2324.51,8792.62,1.07,44.6,314.97,2388.62,8119.21,9.2884,0.03,365,2324,100.0,24.29,14.5977,14
101,38,445.0,549.24,1348.09,1124.29,3.91,5.72,139.0,2211.88,8321.2,1.02,42.0,130.74,2387.93,8085.78,9.3336,0.02,332,2212,100.0,10.57,6.231,106
102,122,445.0,550.18,1359.95,1141.89,3.91,5.72,138.32,2211.41,8312.27,1.02,42.82,129.8,2387.45,8067.91,9.4478,0.02,334,2212,100.0,10.47,6.3341,8
103,186,489.05,605.99,1516.68,1330.79,10.52,15.5,393.37,2319.18,8804.18,1.26,45.99,370.12,2388.32,8144.37,8.7102,0.03,371,2319,100.0,28.26,16.9539,8
104,141,489.05,605.0,1505.22,1309.97,10.52,15.5,394.29,2319.04,8774.1,1.26,45.56,371.04,2388.15,8116.36,8.6702,0.03,369,2319,100.0,28.48,17.1,106
105,61,489.05,604.98,1495.24,1312.89,10.52,15.49,395.19,2318.93,8763.28,1.26,45.21,371.61,2388.09,8117.32,8.6246,0.03,369,2319,100.0,28.64,17.2723,116
106,72,491.19,607.75,1487.11,1254.77,9.35,13.66,334.86,2323.95,8720.07,1.07,44.26,314.98,2388.15,8065.27,9.2131,0.02,365,2324,100.0,24.58,14.7672,120
107,132,445.0,550.36,1350.27,1133.03,3.91,5.72,138.33,2211.71,8315.27,1.02,42.25,130.66,2387.73,8079.3,9.4364,0.02,333,2212,100.0,10.59,6.2968,61
108,174,449.44,555.93,1355.78,1132.27,5.48,8.0,194.64,2223.15,8361.8,1.02,41.8,183.28,2388.29,8074.51,9.3285,0.02,334,2223,100.0,14.88,8.9201,168
109,144,489.05,605.19,1503.98,1319.0,10.52,15.5,394.04,2319.05,8771.68,1.26,45.79,371.03,2388.27,8113.67,8.6984,0.03,370,2319,100.0,28.48,17.0106,35
110,219,518.67,642.75,1588.93,1412.33,14.62,21.61,551.98,2388.13,9055.5,1.3,47.65,521.46,2388.15,8138.46,8.4289,0.03,395,2388,100.0,38.62,23.2509,80
111,131,518.67,643.37,1596.62,1420.11,14.62,21.61,551.65,2388.28,9033.09,1.3,47.79,519.9,2388.23,8107.6,8.5166,0.03,394,2388,100.0,38.46,23.1444,9
112,109,445.0,550.14,1366.52,1129.38,3.91,5.72,138.25,2211.84,8320.89,1.02,42.25,130.32,2387.88,8080.7,9.3633,0.02,330,2212,100.0,10.8,6.244,50
113,45,518.67,641.9,1593.17,1398.37,14.62,21.61,553.83,2388.03,9055.01,1.3,47.22,522.0,2388.04,8138.63,8.408,0.03,391,2388,100.0,38.95,23.3582,151
114,153,489.05,605.13,1493.45,1320.35,10.52,15.5,395.0,2318.9,8792.29,1.26,45.67,371.45,2388.22,8132.05,8.6753,0.03,369,2319,100.0,28.48,17.0712,78
115,210,489.05,604.86,1501.28,1318.99,10.52,15.49,394.54,2319.09,8780.38,1.26,45.69,370.85,2388.26,8123.6,8.7218,0.03,370,2319,100.0,28.33,17.1327,91
116,171,491.19,608.98,1491.25,1266.85,9.35,13.66,334.32,2324.07,8712.93,1.07,44.97,313.6,2388.22,8050.96,9.3031,0.03,367,2324,100.0,24.27,14.5076,7
117,55,445.0,549.55,1355.31,1130.57,3.91,5.72,138.95,2211.9,8323.92,1.02,42.13,130.99,2388.04,8085.79,9.3773,0.02,332,2212,100.0,10.64,6.3704,181
118,97,491.19,607.04,1484.39,1252.47,9.35,13.65,334.25,2323.92,8722.41,1.08,44.42,315.24,2388.06,8063.29,9.2164,0.02,365,2324,100.0,24.5,14.7195,150
119,202,462.54,536.57,1258.86,1051.3,7.05,9.03,175.26,1915.28,8007.12,0.94,36.76,165.07,2028.26,7876.09,10.8934,0.02,307,1915,84.93,14.29,8.5824,106
120,160,518.67,643.15,1609.69,1417.12,14.62,21.61,551.85,2388.21,9065.94,1.3,47.88,519.73,2388.19,8133.96,8.4697,0.03,394,2388,100.0,38.59,23.2509,15
121,59,491.19,607.96,1488.55,1256.28,9.35,13.66,333.92,2323.99,8727.25,1.08,44.62,315.21,2388.14,8063.58,9.227,0.02,365,2324,100.0,24.41,14.7731,67
122,29,462.54,536.5,1266.9,1048.97,7.05,9.02,175.29,1915.49,8018.02,0.94,36.67,165.25,2028.37,7883.36,10.8738,0.02,307,1915,84.93,14.43,8.6127,145
123,61,491.19,607.13,1484.95,1251.03,9.35,13.66,334.15,2323.95,8713.3,1.08,44.4,314.89,2388.05,8055.76,9.227,0.02,366,2324,100.0,24.47,14.7364,180
124,149,518.67,643.79,1595.27,1428.93,14.62,21.61,551.91,2388.21,9079.12,1.3,48.06,519.78,2388.25,8158.28,8.5058,0.03,394,2388,100.0,38.32,23.186,7
125,79,462.54,536.82,1257.37,1052.12,7.05,9.02,174.75,1915.34,8015.91,0.94,36.7,164.35,2028.19,7872.86,10.8869,0.02,307,1915,84.93,14.24,8.6009,179
126,99,462.54,537.04,1258.25,1049.46,7.05,9.03,175.92,1915.3,8012.45,0.94,36.71,164.39,2028.17,7868.42,10.8482,0.02,307,1915,84.93,14.36,8.5856,124
127,126,518.67,642.55,1589.01,1414.01,14.62,21.61,552.66,2388.11,9064.51,1.3,47.82,521.52,2388.13,8149.18,8.4735,0.03,393,2388,100.0,38.82,23.3876,82
128,110,462.54,536.96,1267.31,1042.46,7.05,9.02,175.56,1915.27,8010.74,0.94,36.82,165.04,2028.21,7872.2,10.8952,0.02,307,1915,84.93,14.2,8.5621,108
129,218,489.05,605.28,1500.46,1307.51,10.52,15.5,394.91,2318.85,8807.85,1.26,45.26,371.5,2388.07,8162.19,8.6534,0.03,369,2319,100.0,28.54,17.0232,79
130,141,462.54,537.14,1260.28,1048.26,7.05,9.03,175.95,1915.28,8008.82,0.94,36.95,164.18,2028.21,7873.61,10.9242,0.02,306,1915,84.93,14.37,8.5814,121
131,73,462.54,536.43,1264.28,1042.92,7.05,9.02,176.09,1915.48,8018.81,0.94,36.58,164.79,2028.34,7882.58,10.8797,0.02,306,1915,84.93,14.26,8.584,120
132,122,518.67,642.62,1594.17,1411.22,14.62,21.61,553.12,2388.17,9046.35,1.3,47.79,520.9,2388.19,8134.09,8.4506,0.03,394,2388,100.0,38.83,23.2742,39
133,186,445.0,549.68,1357.95,1126.26,3.91,5.72,139.22,2212.51,8359.15,1.02,42.16,130.84,2388.66,8116.5,9.3854,0.02,332,2212,100.0,10.58,6.3212,38
134,186,445.0,551.05,1366.0,1139.41,3.91,5.72,138.96,2213.81,8444.05,1.03,42.56,131.04,2389.96,8191.04,9.3829,0.02,334,2212,100.0,10.31,6.3973,9
135,120,518.67,642.02,1579.32,1398.86,14.62,21.61,554.3,2388.07,9055.69,1.3,47.28,522.03,2388.02,8135.28,8.4322,0.03,391,2388,100.0,39.04,23.4274,167
136,77,449.44,555.94,1365.47,1145.65,5.48,8.0,194.93,2222.89,8346.37,1.02,42.14,182.52,2387.93,8060.87,9.3485,0.02,333,2223,100.0,14.83,8.7507,87
137,226,489.05,604.95,1509.45,1317.76,10.52,15.49,394.12,2318.93,8798.31,1.26,45.6,371.47,2388.12,8149.82,8.6635,0.03,369,2319,100.0,28.63,17.1831,88
138,200,445.0,549.88,1358.26,1144.62,3.91,5.71,137.83,2211.38,8310.56,1.02,42.84,130.02,2387.4,8061.49,9.4767,0.02,333,2212,100.0,10.51,6.3033,7
139,116,445.0,549.96,1358.6,1119.53,3.91,5.72,138.88,2212.37,8348.9,1.02,42.16,130.83,2388.45,8109.23,9.3845,0.02,331,2212,100.0,10.43,6.3732,51
140,306,491.19,608.23,1485.47,1256.69,9.35,13.66,334.13,2324.16,8753.89,1.07,44.53,314.2,2388.3,8086.71,9.2303,0.02,365,2324,100.0,24.34,14.6227,55
141,69,445.0,549.47,1354.07,1122.93,3.91,5.72,138.79,2211.89,8322.73,1.02,41.93,130.43,2387.96,8082.81,9.3594,0.02,332,2212,100.0,10.81,6.3375,155
142,163,518.67,643.36,1595.54,1425.53,14.62,21.61,551.83,2388.25,9040.02,1.3,47.8,521.02,2388.18,8122.22,8.4529,0.03,396,2388,100.0,38.4,23.2325,47
143,226,489.05,604.95,1503.65,1313.11,10.52,15.49,394.44,2318.99,8789.7,1.26,45.56,371.15,2388.17,8139.68,8.665,0.03,370,2319,100.0,28.62,17.1331,81
144,143,462.54,537.1,1264.91,1055.4,7.05,9.03,174.97,1915.28,8011.58,0.94,37.02,164.77,2028.13,7867.02,10.9212,0.02,308,1915,84.93,14.15,8.6242,43
145,142,518.67,642.05,1587.51,1405.64,14.62,21.61,554.13,2388.05,9055.11,1.3,47.32,521.8,2388.1,8132.05,8.4377,0.03,391,2388,100.0,39.0,23.2594,98
146,144,445.0,549.62,1361.42,1139.82,3.91,5.72,137.96,2211.8,8332.99,1.02,42.52,130.52,2387.84,8087.57,9.4595,0.02,334,2212,100.0,10.52,6.3104,10
147,78,445.0,549.95,1356.52,1127.73,3.91,5.71,138.72,2211.84,8316.75,1.02,42.27,130.56,2387.85,8079.77,9.3777,0.02,330,2212,100.0,10.6,6.3225,92
148,157,445.0,550.55,1360.39,1140.9,3.91,5.72,138.44,2212.71,8374.04,1.02,42.44,130.86,2388.88,8127.9,9.4034,0.02,336,2212,100.0,10.48,6.2421,11
149,70,462.54,536.84,1255.71,1048.94,7.05,9.03,175.42,1915.38,8012.69,0.94,36.78,164.36,2028.32,7877.92,10.8597,0.02,306,1915,84.93,14.29,8.4669,165
150,196,462.54,536.84,1265.76,1048.24,7.05,9.03,174.85,1915.48,8020.79,0.94,36.95,164.37,2028.4,7887.4,10.9714,0.02,310,1915,84.93,14.04,8.5588,34
151,141,445.0,549.79,1355.02,1129.66,3.91,5.71,138.58,2211.91,8326.8,1.02,42.11,130.17,2387.99,8087.79,9.359,0.02,331,2212,100.0,10.65,6.4021,115
152,90,489.05,604.63,1503.45,1308.59,10.52,15.49,394.88,2318.91,8764.93,1.26,45.46,371.63,2388.15,8129.57,8.6615,0.03,370,2319,100.0,28.57,17.0461,59
153,146,518.67,642.12,1591.07,1406.75,14.62,21.61,553.79,2388.06,9073.37,1.3,47.32,522.1,2388.09,8155.14,8.41,0.03,394,2388,100.0,38.95,23.1884,99
154,58,449.44,555.84,1370.03,1135.28,5.48,8.0,194.67,2222.94,8345.94,1.02,41.92,182.88,2388.05,8069.88,9.3371,0.02,333,2223,100.0,14.77,8.8772,103
155,72,489.05,604.67,1499.24,1302.52,10.52,15.49,394.96,2318.86,8786.33,1.26,45.14,372.0,2388.07,8131.82,8.6545,0.03,368,2319,100.0,28.74,17.2141,108
156,75,489.05,604.4,1500.7,1303.27,10.52,15.49,394.81,2318.86,8788.61,1.26,45.31,371.98,2388.1,8145.45,8.655,0.03,369,2319,100.0,28.59,17.1471,83
157,161,491.19,607.01,1491.38,1246.34,9.35,13.65,334.76,2323.98,8728.16,1.08,44.23,315.1,2388.11,8065.87,9.199,0.02,364,2324,100.0,24.69,14.6554,171
158,171,445.0,550.42,1361.95,1143.88,3.91,5.72,138.29,2212.38,8360.7,1.02,42.43,130.47,2388.58,8114.7,9.4103,0.02,333,2212,100.0,10.41,6.3394,15
159,187,491.19,608.58,1499.75,1271.25,9.35,13.66,333.83,2324.09,8718.19,1.07,44.89,313.78,2388.28,8052.25,9.3108,0.03,367,2324,100.0,24.28,14.5193,9
160,124,445.0,549.36,1360.93,1125.92,3.91,5.72,138.46,2212.09,8335.02,1.02,42.29,130.42,2388.29,8098.74,9.3807,0.02,334,2212,100.0,10.46,6.311,42
161,174,445.0,549.71,1353.04,1140.52,3.91,5.72,138.85,2212.91,8395.34,1.03,42.39,131.27,2389.14,8146.74,9.3948,0.02,333,2212,100.0,10.66,6.3447,13
162,185,489.05,605.08,1505.69,1319.89,10.52,15.5,393.79,2319.0,8797.34,1.26,45.55,371.33,2388.18,8142.78,8.715,0.03,370,2319,100.0,28.3,17.1326,41
163,144,449.44,555.92,1362.2,1139.39,5.48,8.0,194.89,2223.09,8359.77,1.02,41.95,183.09,2388.16,8079.89,9.3472,0.02,332,2223,100.0,14.87,8.9129,88
164,199,445.0,550.07,1369.23,1146.9,3.91,5.71,138.36,2211.84,8327.61,1.02,42.52,130.02,2387.96,8085.44,9.4442,0.02,333,2212,100.0,10.61,6.3102,14
165,35,449.44,555.62,1365.17,1127.29,5.48,8.0,194.03,2222.85,8344.2,1.02,41.9,183.05,2387.93,8059.42,9.2993,0.02,335,2223,100.0,14.64,8.8133,155
166,97,445.0,549.15,1353.28,1131.61,3.91,5.71,138.83,2211.97,8327.92,1.02,42.17,130.6,2388.06,8090.73,9.3744,0.02,332,2212,100.0,10.55,6.4521,188
167,78,445.0,549.23,1353.01,1124.73,3.91,5.71,138.12,2212.06,8334.19,1.02,41.87,129.77,2388.07,8095.0,9.378,0.02,332,2212,100.0,10.77,6.3538,96
168,107,489.05,604.69,1497.57,1307.89,10.52,15.49,394.22,2318.97,8780.04,1.26,45.42,371.26,2388.16,8125.96,8.6843,0.03,370,2319,100.0,28.46,17.1507,82
169,80,462.54,536.75,1274.74,1051.1,7.05,9.03,175.35,1915.28,8007.73,0.94,36.77,164.36,2028.22,7880.56,10.9044,0.02,308,1915,84.93,14.36,8.4758,135
170,85,449.44,556.04,1360.41,1129.94,5.48,8.0,194.49,2223.03,8357.52,1.02,41.72,182.8,2388.14,8070.96,9.3462,0.02,334,2223,100.0,14.86,8.7714,182
171,243,449.44,556.78,1367.03,1137.05,5.48,8.0,194.09,2223.77,8400.47,1.02,42.09,182.84,2388.93,8114.25,9.3633,0.02,336,2223,100.0,14.64,8.8635,36
172,128,491.19,607.32,1483.94,1252.32,9.35,13.66,334.06,2324.01,8729.32,1.07,44.6,314.53,2388.14,8061.5,9.2093,0.02,366,2324,100.0,24.52,14.6475,107
173,117,518.67,642.81,1593.47,1422.99,14.62,21.61,551.44,2388.29,9030.45,1.3,48.0,520.22,2388.25,8105.23,8.4983,0.03,395,2388,100.0,38.57,23.1386,14
174,51,489.05,605.08,1503.05,1313.12,10.52,15.5,394.26,2318.96,8785.64,1.26,45.54,371.44,2388.14,8132.46,8.6875,0.03,370,2319,100.0,28.43,17.0798,95
175,83,462.54,536.23,1263.03,1038.95,7.05,9.03,175.23,1915.58,8021.16,0.94,36.66,164.8,2028.43,7880.81,10.8621,0.02,307,1915,84.93,14.27,8.4866,142
176,200,449.44,556.19,1377.74,1135.82,5.48,8.01,193.92,2223.65,8386.8,1.02,41.87,182.71,2388.83,8106.74,9.3953,0.02,335,2223,100.0,14.77,8.9331,23
177,191,489.05,605.48,1509.76,1323.51,10.52,15.5,393.62,2319.11,8850.8,1.26,45.91,370.39,2388.31,8185.26,8.7546,0.03,372,2319,100.0,28.37,17.0928,6
178,54,449.44,555.65,1367.38,1126.78,5.48,8.0,194.93,2222.91,8347.35,1.02,42.05,183.23,2387.99,8067.12,9.331,0.02,334,2223,100.0,15.03,8.8565,144
179,156,449.44,556.16,1365.29,1138.19,5.48,8.0,194.27,2222.6,8339.77,1.02,42.19,182.56,2387.63,8049.39,9.371,0.02,335,2223,100.0,15.0,8.7343,35
180,154,518.67,642.96,1593.51,1401.52,14.62,21.61,553.47,2388.13,9052.78,1.3,47.58,521.01,2388.07,8133.84,8.4616,0.03,395,2388,100.0,39.03,23.3098,97
181,199,445.0,550.05,1357.69,1136.9,3.91,5.72,139.02,2212.22,8344.44,1.02,42.34,130.55,2388.32,8100.2,9.3877,0.02,331,2212,100.0,10.6,6.2745,68
182,134,449.44,556.1,1373.98,1144.66,5.48,8.0,193.95,2222.52,8336.22,1.02,42.45,182.57,2387.62,8049.99,9.3804,0.02,336,2223,100.0,14.73,8.8995,14
183,150,445.0,549.09,1353.39,1121.09,3.91,5.72,139.16,2212.3,8342.43,1.02,42.11,130.31,2388.41,8115.81,9.3424,0.02,330,2212,100.0,10.3,6.4363,67
184,64,518.67,641.99,1581.57,1406.02,14.62,21.61,554.55,2388.05,9050.6,1.3,47.27,522.11,2388.12,8133.86,8.3983,0.03,392,2388,100.0,39.07,23.3624,191
